                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.52546,                0.47731,                0.88435,                0.88381,                0.96815,                0.97592,                0.88592,                0.43093,                0.44624,                0.88734,              0.0011585,              0.0011585,              0.0011585
                     37,                0.52735,                0.48359,                0.88818,                0.88915,                0.96815,                0.97531,                0.88318,                0.45461,                0.45969,                0.88715,              0.0011337,              0.0011337,              0.0011337
                     38,                0.52544,                0.48693,                 0.8894,                0.90378,                 0.9572,                0.97458,                0.88508,                0.46294,                0.46488,                0.88374,               0.001109,               0.001109,               0.001109
                     39,                0.49283,                 0.5542,                0.85942,                0.91002,                0.96178,                0.97944,                0.88239,                0.45915,                 0.4475,                0.87957,              0.0010842,              0.0010842,              0.0010842
                     40,                0.52074,                 0.4653,                0.88162,                0.89188,                0.96178,                0.97432,                0.88595,                0.42481,                0.44235,                0.87413,              0.0010595,              0.0010595,              0.0010595
                     41,                0.51731,                0.43732,                0.88043,                0.89443,                0.97136,                0.98002,                0.89456,                0.42496,                0.42291,                0.87991,              0.0010347,              0.0010347,              0.0010347
                     42,                0.49534,                 0.4486,                0.87041,                0.89518,                0.97915,                0.98035,                0.88334,                0.43522,                0.43427,                0.87131,                0.00101,                0.00101,                0.00101
                     43,                0.49788,                0.44349,                0.87281,                 0.9331,                0.93631,                0.97521,                0.89506,                0.41046,                0.42177,                0.86819,             0.00098525,             0.00098525,             0.00098525
                     44,                 0.4969,                0.43776,                0.87204,                0.89856,                0.97452,                0.97519,                0.89702,                0.41341,                0.46222,                0.87181,              0.0009605,              0.0009605,              0.0009605
                     45,                0.49826,                0.44818,                0.88284,                0.90859,                 0.9497,                0.98042,                0.89948,                0.41901,                0.41928,                0.87721,             0.00093575,             0.00093575,             0.00093575
                     46,                0.50312,                0.43879,                0.88826,                0.92545,                0.96178,                 0.9782,                0.90335,                0.41192,                0.40785,                0.86587,               0.000911,               0.000911,               0.000911
                     47,                0.50325,                0.46097,                0.87263,                0.91498,                0.95971,                0.97594,                0.89153,                0.43115,                0.42818,                0.87575,             0.00088625,             0.00088625,             0.00088625
                     48,                0.49343,                0.45978,                0.87812,                0.93351,                0.93631,                0.97846,                0.89727,                0.41671,                0.43713,                0.88363,              0.0008615,              0.0008615,              0.0008615
                     49,                0.49381,                0.41488,                0.87933,                  0.919,                0.94904,                0.97337,                0.89537,                0.42345,                0.43225,                0.87618,             0.00083675,             0.00083675,             0.00083675
                     50,                 0.5131,                0.42158,                0.88789,                0.88448,                 0.9754,                 0.9774,                0.89207,                0.41397,                0.41198,                 0.8702,               0.000812,               0.000812,               0.000812
                     51,                0.46231,                0.40482,                0.87257,                0.90439,                0.97452,                0.98082,                0.90043,                0.40789,                0.40476,                0.86767,             0.00078725,             0.00078725,             0.00078725
                     52,                0.46579,                0.44016,                0.87021,                0.90714,                0.96815,                0.98192,                0.90156,                0.41654,                0.41571,                0.87155,              0.0007625,              0.0007625,              0.0007625
                     53,                0.47777,                0.44322,                 0.8643,                0.87024,                0.98253,                 0.9755,                0.89363,                0.42832,                0.41192,                0.87853,             0.00073775,             0.00073775,             0.00073775
                     54,                0.47046,                 0.4284,                0.87162,                0.92597,                0.95606,                0.98318,                0.90668,                0.39907,                0.38882,                 0.8676,               0.000713,               0.000713,               0.000713
                     55,                0.46701,                0.41586,                0.86808,                0.93732,                0.95251,                0.98102,                0.90198,                 0.4055,                0.39871,                0.86199,             0.00068825,             0.00068825,             0.00068825
                     56,                0.46387,                0.41068,                0.85974,                 0.9289,                0.94904,                0.98183,                 0.9046,                0.39462,                0.38311,                 0.8618,              0.0006635,              0.0006635,              0.0006635
                     57,                0.44804,                0.45567,                 0.8652,                0.90012,                0.95541,                0.97617,                0.90992,                0.38883,                0.41077,                0.85949,             0.00063875,             0.00063875,             0.00063875
                     58,                0.45172,                0.42212,                0.86799,                0.90454,                0.96569,                0.97787,                0.91026,                0.38041,                0.39187,                  0.854,               0.000614,               0.000614,               0.000614
                     59,                0.43521,                0.38576,                0.86296,                0.93519,                0.96178,                0.98262,                0.91217,                0.38264,                0.37245,                0.86049,             0.00058925,             0.00058925,             0.00058925
                     60,                0.45385,                0.41108,                0.85894,                0.93165,                0.95541,                0.97632,                0.90536,                0.37744,                0.38647,                0.85511,              0.0005645,              0.0005645,              0.0005645
                     61,                0.45331,                0.51539,                0.85284,                0.94537,                0.89809,                0.97289,                0.89617,                0.40045,                0.44988,                0.85939,             0.00053975,             0.00053975,             0.00053975
                     62,                0.44809,                0.44643,                0.85864,                  0.878,                0.98089,                0.97558,                0.89569,                0.41296,                0.43071,                0.85974,               0.000515,               0.000515,               0.000515
                     63,                0.44965,                0.42832,                0.86949,                0.89104,                0.96815,                0.97729,                0.91152,                0.38551,                0.39105,                0.86261,             0.00049025,             0.00049025,             0.00049025
                     64,                 0.4374,                0.39229,                0.85838,                0.94208,                0.93245,                0.98156,                0.90909,                 0.3983,                0.37519,                 0.8597,              0.0004655,              0.0004655,              0.0004655
                     65,                0.42742,                0.38594,                0.85798,                0.96642,                0.91652,                0.98182,                0.91185,                0.38959,                0.37305,                0.85945,             0.00044075,             0.00044075,             0.00044075
                     66,                0.43923,                0.39795,                0.86364,                0.96067,                 0.9172,                0.98291,                0.92059,                0.38182,                0.36262,                0.85647,               0.000416,               0.000416,               0.000416
                     67,                0.42871,                0.41991,                0.85303,                0.95262,                0.92994,                0.98107,                0.90597,                 0.3922,                0.37819,                 0.8571,             0.00039125,             0.00039125,             0.00039125
                     68,                0.41789,                0.37109,                0.86022,                0.95979,                0.91211,                0.98071,                0.91223,                0.38651,                0.36842,                0.85644,              0.0003665,              0.0003665,              0.0003665
                     69,                0.40958,                0.41442,                0.84872,                0.91044,                0.96178,                0.98421,                0.92346,                0.39697,                 0.3786,                0.85423,             0.00034175,             0.00034175,             0.00034175
                     70,                0.41957,                0.36696,                0.84744,                0.94132,                0.94268,                0.98304,                0.91555,                0.37412,                0.36126,                0.85156,               0.000317,               0.000317,               0.000317
                     71,                 0.3738,                0.35254,                0.82041,                0.94788,                0.92677,                0.98182,                0.90546,                0.39718,                0.37336,                0.85942,             0.00029225,             0.00029225,             0.00029225
                     72,                0.37411,                 0.3495,                  0.818,                0.95992,                0.91534,                0.98372,                0.91389,                0.38921,                0.35022,                0.85938,              0.0002675,              0.0002675,              0.0002675
                     73,                0.36693,                0.34539,                0.82243,                0.94286,                0.94595,                0.98376,                0.91565,                0.38222,                0.34499,                0.86184,             0.00024275,             0.00024275,             0.00024275
                     74,                0.35973,                0.32569,                 0.8153,                0.94514,                0.93631,                0.98506,                0.92291,                0.37126,                0.33856,                0.85435,               0.000218,               0.000218,               0.000218
                     75,                0.35008,                0.33683,                0.80771,                 0.9607,                0.93433,                0.98461,                0.92926,                0.36889,                0.34265,                0.84983,             0.00019325,             0.00019325,             0.00019325
                     76,                0.35046,                0.31773,                0.81885,                0.95772,                0.92994,                0.98265,                0.92283,                0.36536,                0.34491,                 0.8476,              0.0001685,              0.0001685,              0.0001685
                     77,                 0.3561,                0.32368,                0.80917,                0.96055,                 0.9305,                0.98286,                0.92086,                 0.3647,                  0.347,                0.84667,             0.00014375,             0.00014375,             0.00014375
                     78,                0.34846,                0.30809,                0.81818,                0.95808,                0.92994,                0.98148,                0.92158,                0.36034,                0.34717,                0.84808,               0.000119,               0.000119,               0.000119
                     79,                0.34571,                0.30841,                0.81379,                0.96174,                0.92357,                0.98272,                0.92365,                0.36793,                0.34574,                0.84876,              9.425e-05,              9.425e-05,              9.425e-05
                     80,                0.34271,                0.30892,                0.82243,                0.95273,                0.92994,                0.98265,                0.93064,                0.35741,                0.33738,                0.84646,               6.95e-05,               6.95e-05,               6.95e-05
