                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.4181,                0.22911,                0.83812,                 0.9994,                      1,                  0.995,                 0.9239,                0.40446,                0.19332,                 0.8321,               0.001307,               0.001307,               0.001307
                     38,                0.41672,                0.22696,                0.84013,                0.99956,                      1,                  0.995,                0.92742,                0.39705,                0.18182,                0.82842,              0.0012872,              0.0012872,              0.0012872
                     39,                0.40549,                 0.2226,                0.83367,                0.99983,                      1,                  0.995,                0.92157,                0.40141,                0.18203,                0.83002,              0.0012674,              0.0012674,              0.0012674
                     40,                0.41165,                0.22556,                0.83777,                0.99978,                      1,                  0.995,                0.93227,                0.38904,                0.18506,                0.82967,              0.0012476,              0.0012476,              0.0012476
                     41,                0.41394,                0.22634,                0.83302,                0.99956,                      1,                  0.995,                0.92476,                0.39693,                0.19128,                0.83109,              0.0012278,              0.0012278,              0.0012278
                     42,                0.42087,                0.23554,                0.83651,                0.99945,                      1,                  0.995,                 0.9188,                0.41255,                0.19731,                 0.8357,               0.001208,               0.001208,               0.001208
                     43,                0.40993,                0.22972,                0.83644,                0.99982,                      1,                  0.995,                0.92147,                0.41463,                0.18874,                0.83672,              0.0011882,              0.0011882,              0.0011882
                     44,                0.40489,                0.21893,                0.83255,                0.99982,                      1,                  0.995,                0.93456,                0.39162,                0.17664,                0.82977,              0.0011684,              0.0011684,              0.0011684
                     45,                0.39965,                0.21695,                0.83602,                0.99983,                      1,                  0.995,                0.93404,                0.38414,                0.17901,                0.82796,              0.0011486,              0.0011486,              0.0011486
                     46,                0.39716,                0.21483,                0.82616,                0.99982,                      1,                  0.995,                0.92727,                0.40789,                0.18591,                0.83439,              0.0011288,              0.0011288,              0.0011288
                     47,                0.39868,                0.21987,                0.83248,                0.99984,                      1,                  0.995,                0.92431,                0.39906,                0.18047,                0.83132,               0.001109,               0.001109,               0.001109
                     48,                0.40627,                0.22016,                0.83739,                0.99984,                      1,                  0.995,                0.92529,                0.40192,                0.17855,                 0.8319,              0.0010892,              0.0010892,              0.0010892
                     49,                0.40749,                0.22037,                0.83321,                0.99981,                      1,                  0.995,                0.92277,                0.39686,                0.17559,                 0.8316,              0.0010694,              0.0010694,              0.0010694
                     50,                0.40272,                0.21963,                0.83533,                0.99984,                      1,                  0.995,                0.93111,                0.39869,                0.18018,                0.83166,              0.0010496,              0.0010496,              0.0010496
                     51,                0.40388,                0.21911,                0.83375,                0.99984,                      1,                  0.995,                0.93169,                0.39208,                0.18457,                0.83033,              0.0010298,              0.0010298,              0.0010298
                     52,                0.39678,                0.21728,                0.83403,                0.99982,                      1,                  0.995,                0.92286,                0.40065,                 0.1805,                0.83373,                0.00101,                0.00101,                0.00101
                     53,                0.40158,                0.21519,                0.83005,                0.99984,                      1,                  0.995,                   0.93,                 0.3993,                0.18502,                0.83146,              0.0009902,              0.0009902,              0.0009902
                     54,                0.39143,                0.21159,                0.82993,                0.99978,                      1,                  0.995,                0.92831,                0.39973,                0.17959,                0.83034,              0.0009704,              0.0009704,              0.0009704
                     55,                0.40079,                0.21706,                0.83371,                0.99976,                      1,                  0.995,                0.92446,                 0.3999,                0.18405,                0.83253,              0.0009506,              0.0009506,              0.0009506
                     56,                0.38142,                0.21232,                0.83156,                0.99982,                      1,                  0.995,                0.92957,                0.39905,                0.18095,                0.83138,              0.0009308,              0.0009308,              0.0009308
                     57,                0.38679,                0.20774,                0.82954,                0.99979,                      1,                  0.995,                 0.9336,                0.38751,                0.17603,                0.83041,               0.000911,               0.000911,               0.000911
                     58,                0.39401,                0.21058,                0.82533,                0.99983,                      1,                  0.995,                0.93496,                0.38757,                0.17882,                0.82973,              0.0008912,              0.0008912,              0.0008912
                     59,                0.39309,                0.20909,                0.82925,                0.99983,                      1,                  0.995,                0.92352,                0.40887,                0.17467,                0.83442,              0.0008714,              0.0008714,              0.0008714
                     60,                0.38945,                0.20748,                0.83005,                0.99984,                      1,                  0.995,                0.93249,                0.38833,                0.17008,                0.82979,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.3865,                0.20656,                0.83362,                0.99985,                      1,                  0.995,                0.93292,                0.39558,                0.17699,                0.83115,              0.0008318,              0.0008318,              0.0008318
                     62,                0.38904,                0.20323,                0.83413,                0.99984,                      1,                  0.995,                0.93511,                0.39452,                0.17853,                0.83017,               0.000812,               0.000812,               0.000812
                     63,                0.39057,                0.20622,                0.83285,                0.99984,                      1,                  0.995,                0.92735,                0.39187,                0.17049,                0.82941,              0.0007922,              0.0007922,              0.0007922
                     64,                0.37949,                0.20139,                0.83306,                0.99984,                      1,                  0.995,                0.93666,                0.38245,                0.16789,                0.82647,              0.0007724,              0.0007724,              0.0007724
                     65,                0.38102,                0.20005,                 0.8262,                0.99984,                      1,                  0.995,                 0.9416,                0.37806,                0.16984,                0.82691,              0.0007526,              0.0007526,              0.0007526
                     66,                0.38447,                0.20015,                0.82827,                0.99984,                      1,                  0.995,                0.93364,                0.38463,                0.16215,                0.82697,              0.0007328,              0.0007328,              0.0007328
                     67,                0.38037,                0.19743,                 0.8294,                0.99984,                      1,                  0.995,                0.93471,                0.38546,                0.16647,                0.82893,               0.000713,               0.000713,               0.000713
                     68,                0.38757,                0.20297,                 0.8275,                0.99984,                      1,                  0.995,                0.93313,                 0.3927,                0.16897,                0.82855,              0.0006932,              0.0006932,              0.0006932
                     69,                0.38333,                0.20001,                0.83316,                0.99984,                      1,                  0.995,                 0.9342,                0.38187,                0.16521,                0.82665,              0.0006734,              0.0006734,              0.0006734
                     70,                0.38136,                0.19733,                0.83396,                0.99984,                      1,                  0.995,                0.93431,                0.38588,                0.16493,                0.82769,              0.0006536,              0.0006536,              0.0006536
                     71,                0.38368,                0.19903,                0.82795,                0.99984,                      1,                  0.995,                0.93911,                0.38332,                0.16006,                 0.8273,              0.0006338,              0.0006338,              0.0006338
                     72,                0.36956,                0.19402,                0.82382,                0.99984,                      1,                  0.995,                 0.9329,                0.38787,                0.16405,                 0.8289,               0.000614,               0.000614,               0.000614
                     73,                0.37362,                0.19488,                0.82492,                0.99984,                      1,                  0.995,                0.93406,                0.38806,                0.16825,                0.82796,              0.0005942,              0.0005942,              0.0005942
                     74,                0.37557,                0.19559,                0.83465,                0.99983,                      1,                  0.995,                0.93036,                0.40188,                0.16957,                0.83043,              0.0005744,              0.0005744,              0.0005744
                     75,                0.37494,                0.19655,                0.83282,                0.99985,                      1,                  0.995,                0.93863,                0.38677,                0.16661,                0.82772,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.3713,                0.19217,                0.82567,                0.99984,                      1,                  0.995,                0.94021,                0.37973,                0.16005,                0.82644,              0.0005348,              0.0005348,              0.0005348
                     77,                0.36357,                 0.1896,                0.82694,                0.99984,                      1,                  0.995,                0.93017,                0.39396,                  0.164,                0.83015,               0.000515,               0.000515,               0.000515
                     78,                0.36147,                0.18977,                0.82193,                0.99984,                      1,                  0.995,                0.92959,                0.39013,                  0.162,                0.82968,              0.0004952,              0.0004952,              0.0004952
                     79,                0.36889,                0.19132,                0.82712,                0.99984,                      1,                  0.995,                0.93258,                0.39216,                0.16011,                0.82952,              0.0004754,              0.0004754,              0.0004754
                     80,                0.37305,                0.19073,                0.82241,                0.99984,                      1,                  0.995,                0.92764,                0.40094,                0.16353,                0.83102,              0.0004556,              0.0004556,              0.0004556
                     81,                0.36406,                0.18849,                0.82604,                0.99984,                      1,                  0.995,                0.93988,                0.37981,                0.15628,                0.82629,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.3635,                0.18621,                0.82397,                0.99984,                      1,                  0.995,                0.93647,                0.38568,                0.15403,                 0.8267,               0.000416,               0.000416,               0.000416
                     83,                0.36476,                0.18625,                0.82345,                0.99984,                      1,                  0.995,                0.93527,                0.39135,                0.16051,                0.82953,              0.0003962,              0.0003962,              0.0003962
                     84,                0.35901,                0.18251,                0.82104,                0.99984,                      1,                  0.995,                0.93354,                0.39256,                0.15641,                0.82798,              0.0003764,              0.0003764,              0.0003764
                     85,                0.36684,                0.18402,                0.82218,                0.99984,                      1,                  0.995,                0.93565,                0.38654,                0.15611,                0.82748,              0.0003566,              0.0003566,              0.0003566
                     86,                0.36281,                0.18188,                0.82104,                0.99984,                      1,                  0.995,                0.93823,                0.38106,                 0.1551,                0.82679,              0.0003368,              0.0003368,              0.0003368
                     87,                0.35684,                0.17968,                0.82073,                0.99984,                      1,                  0.995,                0.93678,                0.39187,                0.16289,                0.82878,               0.000317,               0.000317,               0.000317
                     88,                0.36237,                0.18578,                 0.8276,                0.99984,                      1,                  0.995,                0.93893,                0.37766,                0.15535,                0.82559,              0.0002972,              0.0002972,              0.0002972
